Knygos pavadinimas,Autorius,Kaina €,Reitingas,Įvertinimų skaičius,Žanras
Vandens pažadas,Abraham Verghese,21.59,4,21,Užsienio romanai
Monos akys. Su 52 meno kūrinių įklijomis,Thomas Schlesser,19.79,0,0,Užsienio romanai
Amberės dovana,Christine Leunens,16.69,4,0,Užsienio romanai
Kaukių balius,Santa Montefiore,12.29,1,5,Užsienio romanai
Paskutinis sapnas,Pedro Almodovar,14.69,5,1,Užsienio romanai
Liepsnojantis kryžius. Svetimšalė. 5 knyga,Diana Gabaldon,29.09,5,2,Užsienio romanai
Pelikanų merginos,Julia Malye,23.19,3,7,Užsienio romanai
ŠVIESOS STYGIUS. Naujas knygos „Aštuntas gyvenimas (Brilkai)“ autorės romanas,Nino Haratischwili,20.39,4,11,Užsienio romanai
Naktinėtoja,Leila Mottley,15.39,4,4,Užsienio romanai
Viena diena,David Nicholls,15.29,4,4,Užsienio romanai
Susitiksime rugpjūtį,Gabriel Garcia Mar...,12.49,3,5,Užsienio romanai
Indigo sala,T.I. Lowe,15.79,5,6,Užsienio romanai
Mano žmogus,Herbjørg Wassmo,18.09,4,3,Užsienio romanai
Septintas susitikimas,Herbjørg Wassmo,16.99,4,9,Užsienio romanai
Bėgantis paskui aitvarą,Khaled Hosseini,14.09,5,28,Užsienio romanai
Šimto metų istorija,Herbjørg Wassmo,14.49,5,1,Užsienio romanai
Namų taisyklės,Jodi Picoult,13.59,4,7,Užsienio romanai
Našlė vieneriems metams,John Irving,16.19,4,12,Užsienio romanai
Italė Brukline,Santa Montefiore,13.59,4,11,Užsienio romanai
Vasara po vasaros,Carley Fortune,18.79,4,15,Užsienio romanai
Ponia Egziuperi ir dangaus žvaigždės,Sophie Villard,18.09,5,3,Užsienio romanai
Vila,Anne Jacobs,18.79,5,3,Užsienio romanai
"Gražus pasauli, kurgi tu",Sally Rooney,15.09,4,13,Užsienio romanai
Paskutinė vasaros šventė,Santa Montefiore,11.59,2,4,Užsienio romanai
Traukinys į Samarkandą,Guzel Yakhina,20.59,5,5,Užsienio romanai
Žalvario žiedas,Diane Chamberlain,15.99,4,8,Užsienio romanai
Ir tai praeis,Milena Busquets,10.59,3,6,Užsienio romanai
Troškimų knyga,Sue Monk Kidd,20.19,5,6,Užsienio romanai
Intuicija,Laurent Gounelle,12.59,4,20,Užsienio romanai
Jeruzalės deimantas,Noah Gordon,12.79,3,6,Užsienio romanai
Nerimo žmonės,Fredrik Backman,13.19,4,24,Užsienio romanai
Dievas visada keliauja incognito,Laurent Gounelle,12.89,4,136,Užsienio romanai
Pažadu tau laisvę,Laurent Gounelle,13.69,4,8,Užsienio romanai
Kelionė svetimame pasaulyje,David Park,9.29,5,1,Užsienio romanai
Nepakartojamas A. J. Fikrio gyvenimas,Gabrielle Zevin,11.59,4,5,Užsienio romanai
Išlikusieji,Alex Schulman,11.79,4,4,Užsienio romanai
Ištremtos,Christina Baker Kline,13.39,4,10,Užsienio romanai
"Aš dainuoju, o kalnas šoka",Irene Solà,9.99,4,7,Užsienio romanai
Žarijų sala,Kimberley Freeman,15.49,5,6,Užsienio romanai
Grand Hotel Europa,Ilja Leonard Pfeij...,17.99,4,9,Užsienio romanai
Likę gyvi,Jana Vagner,12.19,4,9,Užsienio romanai
Dagilis,Donna Tartt,22.99,4,20,Užsienio romanai
Močiutė perduoda linkėjimų ir atsiprašo,Fredrik Backman,13.09,5,16,Užsienio romanai
Sudegę ugnyje,Jaume Cabré,9.29,2,2,Užsienio romanai
Laimės sūnus,Herbjørg Wassmo,12.39,4,8,Užsienio romanai
Tilis Ulenšpygelis,Daniel Kehlmann,16.09,3,5,Užsienio romanai
Stiklinė pieno,Herbjørg Wassmo,11.59,4,21,Užsienio romanai
Užgrobti dangų,Paolo Giordano,13.99,4,8,Užsienio romanai
Vidurnakčio saulė,Stephenie Meyer,20.39,4,18,Užsienio romanai
Šiandien madam pareis vėliau,Susanna Kubelka,11.09,4,28,Užsienio romanai
"NORMALŪS ŽMONĖS: nepaprasta meilės istorija, įkvepianti literatūrai naujos gyvybės",Sally Rooney,11.79,3,20,Užsienio romanai
Malonės sniegas,Anthony Doerr,13.19,4,5,Užsienio romanai
Broliai Kalėdos,Giacomo Papi,8.59,3,0,Užsienio romanai
Melagingas suaugusiųjų gyvenimas,Elena Ferrante,14.59,4,7,Užsienio romanai
Vaikų traukinys,Viola Ardone,13.39,4,5,Užsienio romanai
Černobylio malda. Ateities kronika,Svetlana Aleksijevič,9.19,4,31,Užsienio romanai
Apleisties dienos,Elena Ferrante,11.59,4,7,Užsienio romanai
"BESIVEJANT LAIMĘ: užburianti meilės, ištikimybės, ilgesio, lemties ir asmeninių pasirinkimų mozaika",Douglas Kennedy,15.29,4,7,Užsienio romanai
"Moteris, kuri norėjo pakeisti savo gyvenimą",Carole-Anne Eschenazi,8.59,3,5,Užsienio romanai
"VERGAS: poema gyvenimui, raginanti pabusti iš komos ir džiaugtis kiekviena diena",Anand Dílvar,6.79,4,6,Užsienio romanai
Dalai Lamos katė,David Michie,7.69,5,4,Užsienio romanai
SUSIŽAVĖJIMAS. Nr. 1 NEW YORK TIMES bestselerių serijos TROŠKIMAS tęsinys (kietais viršeliais),Tracy Wolff,15.99,5,2,Užsienio romanai
451° Farenheito,Ray Bradbury,12.39,4,17,Užsienio romanai
Pragaištingas sprendimas (Robertas Hanteris),Chris Carter,8.69,5,17,Užsienio romanai
Vieną po kito,Chris Carter,8.69,4,27,Užsienio romanai
Galinis kambarys,Jørn Lier Horst,14.69,3,3,Užsienio romanai
Krūtys ir kiaušinėliai,Mieko Kawakami,16.59,0,0,Užsienio romanai
Dangus ir pragaras,Jon Kalman Stefansson,12.19,4,4,Užsienio romanai
"ŠITO GYVENIMO SKONIS. Romanas apie buitį ir būtį, alkį ir sotumą, vidinį turinį ir išorinius vaidmenis",Sara Poisson,13.99,5,0,Užsienio romanai
Tikrai nutiks kas nors nuostabaus (minkšti viršeliai),Gianluca Gotto,14.59,5,26,Užsienio romanai
"GELTONVEIDĖ. Romanas apie godumą, tiesą, tapatybę ir meną – ir kam iš tikrųjų priklauso istorija",Rebecca F. Kuang,13.99,4,8,Užsienio romanai
Džovanio kambarys,James Baldwin,12.79,3,2,Užsienio romanai
Eisiu paskui tave,Lina Nordquist,14.69,5,11,Užsienio romanai
Kol dar neišaiškėjo tiesa. Tarptautinio bestselerio „Kol dar neatšalo kava“ autoriaus romanas,Toshikazu Kawaguchi,12.19,4,4,Užsienio romanai
VIEŠNIA. Kai kurios paslaptys niekada nepalieka,B. A. Paris,13.89,4,10,Užsienio romanai
